HORA;SE/CO;S;NE;N
00:00;172,8;172,6;172,6;172,6
01:00;169,2;169,2;169,2;169,2
02:00;167,8;167,8;167,8;167,8
03:00;167,4;167,4;167,4;167,4
04:00;166,7;166,7;166,7;166,7
05:00;166,2;166,2;166,2;166,2
06:00;164,6;164,6;164,6;164,6
07:00;163,0;163,0;163,0;163,0
08:00;162,7;162,7;162,7;162,7
09:00;163,9;163,9;163,9;163,9
10:00;164,3;164,3;164,3;164,3
11:00;165,1;165,1;165,1;165,1
12:00;164,8;164,8;164,8;164,8
13:00;165,4;165,4;165,4;165,4
14:00;165,7;165,7;165,7;165,7
15:00;167,8;167,8;167,8;167,8
16:00;169,8;168,9;168,9;168,9
17:00;171,5;169,3;169,3;169,3
18:00;178,3;173,0;173,0;173,0
19:00;181,4;177,0;177,0;177,0
20:00;183,2;179,2;179,2;179,2
21:00;182,3;180,0;180,0;180,0
22:00;180,3;178,0;178,0;178,0
23:00;177,9;171,9;171,9;171,9
